condition,run,model,triples_seen_in_training,frequency
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('ɡ', 'ɡ', 'ɡ')",97
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'ɡ')",140
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 'ɡ', 'ɡ')",420
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 's')",17
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 's')",17
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 's')",17
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 's')",17
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 's')",17
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 's')",17
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 's')",148
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 'sk', 'sk')",113
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('sk', 'sk', 'sk')",26
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
10L_90NL,3,10L_90NL_3_4,"('s', 's', 'sk')",189
